2025-09-04 13:10:10,437 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:12,008 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:13,594 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:15,172 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:16,771 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:18,360 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:19,938 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:21,506 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:23,080 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:24,655 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:26,226 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
