loss,val_loss,learning_rate
0.0183578934520483,0.00918638613075018,0.0010000000474974513
0.00923104491084814,0.007046985439956188,0.0010000000474974513
0.007450468838214874,0.0060670762322843075,0.0010000000474974513
0.006637196987867355,0.005371198523789644,0.0010000000474974513
0.006103482563048601,0.005387346260249615,0.0010000000474974513
0.0057476903311908245,0.00512116402387619,0.0010000000474974513
0.00561269698664546,0.005063279997557402,0.0010000000474974513
0.005428757518529892,0.005210605915635824,0.0010000000474974513
0.005330129060894251,0.00484998244792223,0.0010000000474974513
0.005263679660856724,0.005385866388678551,0.0010000000474974513
0.005190364550799131,0.004809067118912935,0.0010000000474974513
0.005160626955330372,0.004972553811967373,0.0010000000474974513
0.005034205969423056,0.004825121257454157,0.0005000000237487257
0.0050093140453100204,0.004722550977021456,0.0005000000237487257
0.0050126491114497185,0.00477410526946187,0.0005000000237487257
0.005008392967283726,0.00489039346575737,0.0005000000237487257
0.004988050553947687,0.004917611368000507,0.0005000000237487257
0.004921793472021818,0.0047530122101306915,0.0002500000118743628
0.004917534999549389,0.004700555931776762,0.0002500000118743628
0.004913811571896076,0.004751735366880894,0.0002500000118743628
0.0048835561610758305,0.004659455269575119,0.0001250000059371814
0.004872989375144243,0.004647540394216776,0.0001250000059371814
0.0048744939267635345,0.004655899945646524,0.0001250000059371814
0.004853914491832256,0.004649345297366381,6.25000029685907e-05
0.004832427948713303,0.004654304590076208,6.25000029685907e-05
0.004829672630876303,0.0046746027655899525,6.25000029685907e-05
0.004838000517338514,0.004634133540093899,3.125000148429535e-05
0.004828738048672676,0.004631119780242443,3.125000148429535e-05
0.004836117383092642,0.004639090970158577,3.125000148429535e-05
0.004820076748728752,0.004645951557904482,1.5625000742147677e-05
0.004821262322366238,0.004629221744835377,1.5625000742147677e-05
0.004818621091544628,0.004618463106453419,1.5625000742147677e-05
0.004823984112590551,0.00463488232344389,1.5625000742147677e-05
0.004812684841454029,0.0046171462163329124,1.5625000742147677e-05
0.004811764694750309,0.004617439117282629,1.5625000742147677e-05
0.004822275135666132,0.0046287234872579575,7.812500371073838e-06
0.004808646626770496,0.004628683440387249,7.812500371073838e-06
0.004811703693121672,0.004620252177119255,7.812500371073838e-06
0.0048110224306583405,0.004623789340257645,3.906250185536919e-06
