loss,val_loss,learning_rate
0.023069128394126892,0.007166692987084389,0.0010000000474974513
0.007182285655289888,0.006184068974107504,0.0010000000474974513
0.006352502387017012,0.0057062627747654915,0.0010000000474974513
0.00599614018574357,0.005905944854021072,0.0010000000474974513
0.00580799812451005,0.005589685868471861,0.0010000000474974513
0.005675731226801872,0.005761082749813795,0.0010000000474974513
0.005561821162700653,0.0055526806972920895,0.0010000000474974513
0.005476238206028938,0.0053322287276387215,0.0010000000474974513
0.005358023103326559,0.0052628349512815475,0.0010000000474974513
0.005262479186058044,0.005060374271124601,0.0010000000474974513
0.005180089268833399,0.004830255173146725,0.0010000000474974513
0.005110093858093023,0.0047677201218903065,0.0010000000474974513
0.005061556119471788,0.004726540297269821,0.0010000000474974513
0.005012484733015299,0.004702766425907612,0.0010000000474974513
0.004979319404810667,0.0046562631614506245,0.0010000000474974513
0.004925846122205257,0.0047330367378890514,0.0010000000474974513
0.0048764352686703205,0.004631702788174152,0.0005000000237487257
0.004855008330196142,0.00465212669223547,0.0005000000237487257
0.0048441775143146515,0.004662803839892149,0.0005000000237487257
0.004812546074390411,0.004627976566553116,0.0002500000118743628
0.004803167190402746,0.00461572827771306,0.0002500000118743628
0.0047968230210244656,0.0046287598088383675,0.0002500000118743628
0.004795175511389971,0.0046513997949659824,0.0002500000118743628
0.0047899577766656876,0.004615313373506069,0.0002500000118743628
0.004768291022628546,0.004606674890965223,0.0001250000059371814
0.004767221864312887,0.004594858270138502,0.0001250000059371814
0.004763386212289333,0.004604557994753122,0.0001250000059371814
0.004755983129143715,0.004595330450683832,6.25000029685907e-05
0.004754468332976103,0.004596222657710314,6.25000029685907e-05
0.004752338398247957,0.004591806326061487,6.25000029685907e-05
0.00474610086530447,0.004597044084221125,3.125000148429535e-05
0.004749681334942579,0.004582344554364681,3.125000148429535e-05
0.0047466144897043705,0.004588779993355274,3.125000148429535e-05
0.00474261399358511,0.004584343638271093,1.5625000742147677e-05
0.004743916913866997,0.004581586457788944,1.5625000742147677e-05
0.0047431569546461105,0.004583392757922411,1.5625000742147677e-05
0.004738437943160534,0.0045963251031935215,7.812500371073838e-06
0.004742147866636515,0.004593087360262871,7.812500371073838e-06
0.0047403122298419476,0.004587426315993071,7.812500371073838e-06
0.004738675430417061,0.004584579262882471,3.906250185536919e-06
